run,temp,L1temp,L2temp,L3temp,L4temp,L5temp,temp2,L1temp2,L2temp2,L3temp2,L4temp2,L5temp2,tlin,tsq
899,.0120659,-.004828,-.0075244,-.0054629,-.0002325,.0018773,-.0006063,.0002058,.0001948,-.0000114,.0000243,-.0001117,-.0041045,-.0003044
900,.0130895,-.0064221,-.0055313,.0016373,-.002911,-.0021246,-.0004794,.0002708,.0000983,-.0001497,.000191,7.92e-06,-.0022623,-.0000611
901,.0096287,-.0113134,-.0026992,-.0001258,.0004159,.003001,-.0005596,.0004135,-2.03e-06,-.0002057,.0001011,-.0000944,-.0010927,-.0003472
902,.0042909,-.0050774,-.0112906,-.0044373,-.0051523,.0070088,-.0003336,.0002423,.0002816,-.0000472,.0002149,-.0002369,-.0146579,.0001211
903,.0063875,-.0031651,-.0087997,-.0047471,-.0016446,.0034304,-.0004257,.0002341,.0001618,.0000795,.0001226,-.000115,-.0085386,.0000573
904,.009444,-.0018923,-.0088564,-.0004943,-.0002982,.0026342,-.0005111,.0001162,.0001955,-.0000278,.0001133,-.0001175,.0005369,-.0002315
905,.0096196,-.0020666,-.0067343,-.0008984,-.0026732,.0064209,-.0004622,.0002821,.0001933,.0000215,.0002814,-.000295,.003668,.0000211
906,.005852,-.0025012,-.0090986,-.0035966,-.0020272,.0007297,-.0003212,.0000533,.000272,-9.30e-06,.0000607,.0000152,-.010642,.0000707
907,.0055291,-.0040443,-.0097145,.0004435,-.001392,.00255,-.0003683,.0002494,.0002524,-.0001275,.0001668,-.000078,-.0066282,.0000948
908,.0107787,-.0004018,-.0029235,.0021203,-.0020006,.0001876,-.0004499,.0000722,.0001797,-.0001404,.0001504,5.45e-06,.0077607,-.0001825
909,.0098973,-.0025933,-.0134163,.0012291,.00051,-.000265,-.0005016,.0002192,.0002118,-.0000589,.0000112,.0000944,-.0046383,-.0000239
910,.0134777,.0014396,-.0120698,.0007752,-.0029273,-.0017293,-.0005511,.0000571,.0002802,-.0001988,.000233,-.0000608,-.0010339,-.0002404
911,.0085471,-.0034367,-.0025711,-.0012262,-.0015007,-.0002682,-.0004478,.0002379,.0001349,-.0001027,.0001217,-.0001234,-.0004558,-.0001794
