run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
702,.0061132,.0164096,-.0072608,-.0018168,-.0062002,-.0024413,-.001333,-.0012534,.0031056,.0018654,.0022954,.0089028,-.0002911,-.0005676,.000299,.0000209,.0001117,-.0001189,-.0000924,-.0001067,-.0001182,.0002242,-.0000236,-.0001003,-.0032798,.0216662,-.0001146,-.0006485
703,.0107744,.0417106,-.006382,.0363498,.0002757,-.0155992,-.0055333,.0333877,.0010005,-.0018593,.0065851,-.0198033,-.0004553,-.0013052,.0002368,-.000594,-.0000409,.0002922,.0001316,-.0006662,-.0000968,.0001525,-.0002751,.0004805,.0067204,.0741862,-.0004997,-.0016402
704,.0146165,.0130825,-.0110007,-.0036674,-.0129544,-.0134854,-.0050862,-.0062155,-.0025889,.0063564,.0041297,.0081227,-.0007238,-.0004712,.0003983,.0003876,.0003905,.0001536,.0000812,.0001001,.0001037,.0000568,-.0001059,-.0002086,-.012884,.0041934,.000144,.0000183
705,.0109568,-.0083659,-.0052111,.0366617,-.0071121,.0015476,.0005992,.0384316,-.0010842,-.0121972,-.0004041,.0010434,-.0006038,-.0002115,.0002307,-.0006586,.0001281,-.0001506,-.0000125,-.0009078,-.000013,.0005154,.0000738,-.0000832,-.0022556,.0571212,-.0001968,-.0014963
706,.0096423,.0079567,-.0164585,-.0145564,-.0180062,-.0076932,.0031009,-.0041247,.0002556,.0186151,.0125293,.0076037,-.0004786,-.0003349,.0005698,.0005217,.0004495,.0001491,-.0004198,-.0000584,.0000246,-.0002086,-.0004685,-.0002691,-.0089366,.0078012,-.0003231,-.0002003
707,.0074484,.0025869,-.0053287,.0072131,-.0017434,.0039421,-.0029135,.0099954,.0019478,-.0140052,.0063898,.0058497,-.0002735,-.0001504,.0003165,-.0000667,.0000122,-.0001053,-.0000686,-.0002449,6.39e-06,.0005803,-.0002849,-.0001297,.0058004,.015582,-.000292,-.0001166
708,.0092212,.0068186,-.0083811,-.0176843,-.007819,-.0018704,-.0060881,-.0147553,-.0005168,.0057569,.0052148,.007686,-.000515,-.0001415,.0002638,.0004769,.0002996,-.0001159,.0000625,.0001754,.0001056,.0001314,-.0001681,-.0001841,-.0083691,-.0140486,.0000484,.0003422
709,.002926,-.0036614,-.0095351,-.006144,-.00787,-.010562,-.0043229,.0049029,-.0002529,.0128045,.0060077,.0146684,-.0002169,-.0001069,.0002866,.0002763,.0001681,.0002844,.0000883,-.0002549,-2.74e-07,-.0000437,-.0001151,-.0003314,-.0130472,.0120085,.0002106,-.0001762
710,.0075618,.045951,-.0085009,.0224042,-.0045059,-.0042386,-.0044037,-.0039679,-.0038247,-.0250314,.0020882,-.0091188,-.0003274,-.0011544,.0003612,-.0002738,.0001395,-.0000421,.0000193,7.53e-06,.0001992,.000699,-.0002281,.0001787,-.0115853,.0259986,.0001637,-.0005852
711,-.0031122,.0023366,-.0174072,-.0008164,-.011929,-.021568,-.0028752,.0093993,-.0005948,.0017446,.0113643,.0075686,-.0001236,-.0002528,.0006193,.0001145,.000306,.0003645,-.0001125,-.0003037,-.0001472,2.81e-08,-.0003852,-.0002305,-.0245541,-.0013353,.0001568,-.0003079
712,.0061967,.0032225,-.0067246,.0159282,-.0058306,-.0199394,-.0013975,.0291111,.0010197,.0024693,.0071342,.0131085,-.000217,-.0004318,.0002958,-.0002151,.0000579,.0003048,-.0000799,-.0007792,-.0001193,.0000943,-.0002759,-.0002121,.0003979,.0439002,-.0003384,-.0012391
713,.0107613,.0277559,-.0056322,-.0037309,-.0078033,-.0137257,-.0062394,-.0208461,.0014789,-.0083386,.0076049,.0262376,-.0005489,-.0010011,.0001293,.0003374,.0001307,.0003439,.0000976,.0003506,-.0000686,.0003779,-.0001551,-.0005929,.0001701,.0073522,-.000415,-.0001841
714,.0161654,.0170162,-.007821,-.0059901,-.0049942,-.0007313,.0004383,-.0038352,.0026423,.004433,.0023092,.0062132,-.000638,-.0007042,.0003613,.0002192,.0002222,-.000048,-.0001251,-.0000435,-.00004,.0001443,.0000226,-.0001069,.0087401,.0171059,-.0001971,-.0005391
