run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
348,.0095649,.0334234,-.0003211,-.0009995,1.54e-06,.0000588,-2.11e-09,-1.55e-08
349,.0031594,.0572339,-.0001943,-.0012694,1.99e-06,.0000333,-2.26e-09,-8.98e-09
350,.0063502,.0196835,-.0004192,-.0006287,.0000215,.000031,-7.30e-09,-7.28e-09
351,.0133284,.0493447,-.0004477,-.0012933,7.41e-06,.0000479,-4.31e-09,-1.38e-08
352,.0078996,.0208805,-.0002626,-.0008092,-8.49e-06,.0000418,3.69e-10,-1.16e-08
353,.0017553,.0537103,-.0001074,-.0012717,3.02e-07,.0000381,-2.57e-09,-1.08e-08
354,.0029714,.0627352,-.0001357,-.0016117,.0000141,.0000349,-1.76e-09,-8.81e-09
355,.0050974,.0488406,-.0002266,-.0013881,-.0000188,.000039,3.49e-09,-1.29e-08
356,.0111092,.0168112,-.0004937,-.0008583,-8.89e-06,.0000325,1.81e-10,-8.93e-09
357,.0127549,.0327008,-.000531,-.000925,4.89e-06,.0000275,-1.30e-09,-7.65e-09
358,.0030135,.0549778,-.000165,-.0012829,.0000185,.0000635,-5.41e-09,-1.64e-08
359,.0095727,.0298633,-.0002885,-.0008941,-4.55e-06,.0000366,1.84e-10,-9.63e-09
360,.011568,.0050147,-.0002455,-.0004446,7.08e-06,.000053,-3.98e-09,-1.59e-08
361,.0037771,.0247308,-.0002791,-.0007474,-.000015,.0000338,3.48e-09,-9.05e-09
362,.0068523,.0522709,-.0003121,-.0014116,-7.59e-06,.0000542,-1.54e-09,-1.49e-08
363,.0091261,.0496424,-.0004212,-.0014742,1.52e-07,.000013,-3.15e-09,-5.28e-09
364,.0079415,.0416173,-.0002417,-.001206,6.97e-06,.0000203,-6.39e-10,-7.35e-09
365,.01083,.0478453,-.0003851,-.0014135,4.03e-06,3.72e-06,-1.14e-09,-1.91e-09
366,.0144416,.0259975,-.0003816,-.0007985,-.0000155,.0000238,3.37e-09,-6.88e-09
367,.0120724,.0600838,-.000345,-.0015555,3.42e-06,.000021,2.98e-09,-6.70e-09
368,.0066567,.0051467,-.0000644,-.0004271,-6.89e-06,.0000329,-9.21e-11,-8.54e-09
369,.0037227,.0722565,-.0000851,-.0017015,-.0000101,.0000642,7.22e-10,-1.66e-08
370,.0116309,.0315304,-.0003753,-.0009381,6.08e-06,.000034,-1.98e-09,-1.04e-08
371,.0096099,.050791,-.0003047,-.0014451,.0000117,-4.19e-06,-2.05e-09,-1.32e-09
372,.0036783,.0422754,-.0002451,-.0009742,-.0000213,.000033,4.50e-09,-1.12e-08
373,.0153316,.0429335,-.0004677,-.0011474,4.14e-06,.0000284,-3.48e-09,-8.75e-09
374,.010982,.0497784,-.0004317,-.0012362,-8.21e-06,.0000248,4.12e-10,-9.32e-09
375,.0071474,.02147,-.0001617,-.0007202,-.0000199,.0000283,2.09e-09,-6.24e-09
376,.0068028,.0449872,-.0003172,-.0011918,6.63e-06,.0000203,-3.09e-09,-6.62e-09
377,.0037228,.0349849,-.0001827,-.0008788,7.54e-06,.0000601,-1.51e-09,-1.36e-08
378,.0033443,.0381364,-.0002196,-.0009247,-1.52e-06,.0000636,-1.49e-10,-1.64e-08
379,.002128,.0246463,-.0000668,-.0007052,6.53e-06,.0000481,-4.04e-09,-1.24e-08
380,.0036091,.0290426,-.000183,-.0010015,-2.74e-06,.0000272,5.31e-11,-8.16e-09
381,.0107821,.0651852,-.0004145,-.0016395,.0000148,.0000152,-6.35e-09,-7.94e-09
382,.0071205,.0482485,-.0002931,-.0013195,.0000129,.0000594,-5.55e-09,-1.43e-08
383,.0066302,.0461856,-.0002166,-.0013263,.0000114,.0000473,-1.89e-09,-1.42e-08
384,.0112437,.064511,-.0004338,-.0015879,.0000259,.0000298,-6.23e-09,-8.86e-09
385,.009538,.0236073,-.0003744,-.000716,-.0000116,.000027,3.94e-09,-8.44e-09
386,.0064044,.0143934,-.0001631,-.0004493,4.73e-06,.0000642,-4.34e-09,-1.55e-08
387,.0050357,.0392617,-.0003243,-.0010915,-.0000197,.0000495,5.16e-09,-1.37e-08
388,.0115114,.0497247,-.0003491,-.0012548,.0000118,.0000321,-4.89e-09,-1.39e-08
389,.0064856,.0317189,-.0002729,-.0009082,.0000223,.000062,-6.40e-09,-1.98e-08
390,.0087353,.0298432,-.0002872,-.0009464,-1.83e-06,.0000426,-1.16e-09,-1.39e-08
391,.0078848,.0155952,-.0003025,-.000651,-.000019,.0000492,6.16e-09,-1.67e-08
392,.0096596,.0362714,-.000292,-.0010265,-3.10e-06,.0000415,-1.47e-09,-1.19e-08
393,.0078023,.0156646,-.0003029,-.0005359,5.61e-06,.0000452,2.02e-10,-1.14e-08
394,.0077031,.0465804,-.0002794,-.0012735,6.43e-06,.0000424,-3.00e-09,-9.53e-09
395,.0081799,.0452298,-.0003098,-.0014334,.000043,.0000366,-9.07e-09,-8.88e-09
396,.0034484,.0159192,-.0001524,-.0006066,.0000127,.000027,-4.80e-09,-1.01e-08
397,.0081798,.0259474,-.0004138,-.0007046,-.0000102,.0000706,-6.79e-10,-2.39e-08
398,.0026268,.03336,-.0001244,-.0009964,-.0000146,.0000451,2.19e-09,-1.38e-08
399,.0175435,.0288203,-.0006331,-.0010154,-.0000194,.0000348,1.76e-09,-9.45e-09
400,.0149968,.0717816,-.0006556,-.0016283,2.84e-07,.0000376,-4.54e-09,-1.26e-08
401,.0033318,.0347711,-.0002012,-.0010633,-.0000136,.0000488,4.68e-09,-1.29e-08
402,.0086709,.0299191,-.0003761,-.0009236,-2.62e-06,.0000305,-2.59e-10,-7.16e-09
403,.0082799,.032801,-.0002319,-.001006,.0000202,.0000373,-5.67e-09,-1.16e-08
404,.0053666,.0178679,-.0002491,-.0006552,.0000139,.0000455,-6.37e-09,-1.60e-08
405,.0048888,.0256684,-.0002414,-.0007779,7.69e-06,.0000448,1.18e-10,-1.43e-08
406,.0023125,.0452233,-.0001318,-.0013427,.0000144,.0000467,-3.96e-09,-1.22e-08
407,.0084384,.0274939,-.0002517,-.0008534,-.000015,.00005,2.64e-09,-1.28e-08
408,.0081617,.0320523,-.0004622,-.0010536,.0000156,.0000258,-4.99e-09,-7.91e-09
409,.0046386,.0578354,-.0001262,-.0015263,.000012,.0000229,-1.50e-09,-6.60e-09
