run,temp,temp2,prec,prec2
848,.0150936,-.0005493,.0000182,-5.53e-09
849,.0162279,-.000559,.0000214,-4.53e-09
850,.0149771,-.0005371,9.39e-06,-3.12e-09
851,.0117822,-.0004829,6.93e-06,-2.79e-09
852,.0180702,-.0006449,.0000132,-4.98e-09
853,.0080948,-.0003259,.0000144,-7.29e-09
854,.0084313,-.0002965,.0000332,-8.53e-09
855,.0152436,-.000398,.0000252,-5.47e-09
856,.012711,-.0004677,.0000164,-6.03e-09
857,.0158571,-.0005851,.000021,-5.37e-09
858,.0126405,-.0004345,7.36e-06,-2.54e-09
859,.0126284,-.0004748,.000033,-8.95e-09
860,.0104119,-.000405,-6.77e-06,-3.93e-10
861,.010785,-.0004494,-9.88e-07,-1.80e-09
862,.0159557,-.0005841,.0000215,-5.29e-09
863,.0113879,-.0004129,7.95e-06,-4.27e-09
864,.0103022,-.0004154,.0000239,-6.95e-09
865,.0187188,-.000704,.0000326,-9.26e-09
866,.0096872,-.0005241,.0000198,-6.52e-09
867,.0136532,-.0005257,7.54e-06,-2.85e-09
868,.0170606,-.0005764,.0000276,-6.93e-09
869,.0114226,-.0004596,.0000131,-4.90e-09
870,.0149726,-.0004718,.0000222,-8.17e-09
871,.0082361,-.0003422,.0000176,-5.45e-09
872,.020825,-.0008116,3.67e-06,-1.19e-09
873,.0212334,-.0007851,8.06e-06,-1.32e-09
874,.0179749,-.0006959,-5.49e-06,-8.34e-10
875,.0139989,-.000539,.0000136,-4.31e-09
876,.0148126,-.0006395,.0000141,-3.96e-09
877,.0172163,-.0007157,.0000187,-5.61e-09
878,.0122324,-.0004702,.0000192,-5.67e-09
879,.0116122,-.0003964,.0000135,-6.10e-09
880,.0139096,-.0005855,.0000277,-6.76e-09
881,.0142497,-.0005046,7.40e-06,-3.77e-09
882,.01076,-.0004321,.0000157,-4.96e-09
883,.0146261,-.0004978,.0000197,-4.87e-09
884,.0112697,-.0004465,9.47e-06,-2.89e-09
885,.0143152,-.000521,.0000137,-4.09e-09
886,.0117135,-.0003975,.000012,-4.44e-09
887,.0139197,-.0004099,.0000143,-4.31e-09
888,.0295066,-.0008982,9.19e-06,-5.02e-09
889,.0140412,-.0003951,.000013,-4.92e-09
890,.0127847,-.0004847,5.69e-06,-2.71e-09
891,.014826,-.0005818,1.16e-07,-1.98e-09
892,.0135199,-.0005266,.0000206,-4.52e-09
893,.0100205,-.0003458,.0000111,-4.25e-09
894,.0033397,-.0003149,.0000162,-5.45e-09
895,.0120815,-.000571,.000012,-3.02e-09
896,.0090933,-.0003215,.0000152,-2.80e-09
897,.0134746,-.0006099,.000014,-2.98e-09
898,.0154475,-.0005417,.0000132,-4.33e-09
899,.015687,-.0006145,3.96e-06,-2.62e-09
900,.0170166,-.0005722,.0000109,-4.02e-09
901,.0108057,-.0004833,.0000141,-2.55e-09
902,.017495,-.0007307,.0000536,-1.39e-08
903,.0156083,-.0004669,.0000161,-4.81e-09
904,.0100744,-.0003622,.0000272,-8.09e-09
905,.0052645,-.0002262,.0000263,-8.25e-09
906,.003584,-.0002064,.0000391,-8.39e-09
907,.0212548,-.0007162,.0000246,-8.24e-09
908,.0147476,-.0005544,1.38e-06,-7.99e-10
909,.0117722,-.0005067,.0000103,-2.90e-09
910,.0154446,-.0005939,.0000143,-4.81e-09
911,.0153264,-.0004714,.0000115,-4.72e-09
912,.0178123,-.0005935,.0000217,-9.19e-09
913,.0176099,-.0005337,.0000111,-3.10e-09
914,.0181483,-.0006358,.0000218,-5.75e-09
915,.0071994,-.0003138,.0000204,-4.83e-09
916,.0116006,-.0004242,.0000353,-1.01e-08
917,.0094623,-.0004575,.0000202,-5.09e-09
918,.0177283,-.0006503,.0000144,-6.64e-09
919,.0140154,-.0005592,.0000199,-5.11e-09
920,.0135188,-.0005435,.0000308,-5.67e-09
921,.0110413,-.0005464,.0000294,-8.63e-09
922,.0094963,-.0003835,.0000111,-5.07e-09
923,.0116075,-.0004986,.0000149,-5.33e-09
924,.0065771,-.0003185,.0000188,-4.47e-09
925,.0154127,-.000609,.000013,-4.93e-09
926,.011429,-.0005193,.0000107,-3.63e-09
927,.0075424,-.0004433,5.74e-06,-2.29e-09
928,.0105255,-.000473,.000023,-8.13e-09
929,.0144777,-.0005241,.0000278,-8.50e-09
930,.0082102,-.0003751,.0000326,-9.73e-09
931,.0093372,-.0003978,.0000172,-6.04e-09
932,.0156015,-.0005312,8.26e-06,-2.83e-09
933,.0120254,-.0005278,-1.11e-06,-3.82e-10
934,.0127964,-.0005381,.0000231,-7.42e-09
935,.0193118,-.0004989,.000023,-5.43e-09
936,.009568,-.0004501,.0000102,-4.62e-09
937,.0147573,-.0005288,6.83e-06,-2.74e-09
938,.0201877,-.0006706,6.85e-06,-3.26e-09
939,.0078426,-.0003788,7.32e-06,-2.89e-09
940,.0133729,-.0004817,.0000339,-9.76e-09
941,.0173591,-.0006324,.0000126,-3.28e-09
942,.0162841,-.0006061,.0000288,-8.91e-09
943,.016143,-.0006539,7.53e-06,-3.51e-09
944,.0162473,-.000585,7.81e-07,-1.92e-09
945,.0143133,-.000477,.0000113,-4.98e-09
946,.0115423,-.0005279,7.53e-06,-4.05e-09
947,.0192499,-.0006391,.0000206,-6.63e-09
948,.0102937,-.0005148,.000014,-7.18e-09
949,.0143288,-.0005309,.0000159,-4.92e-09
950,.0120281,-.0004579,.0000208,-5.78e-09
951,.0125407,-.000463,-2.67e-06,-2.27e-09
952,.0129365,-.0004252,.0000273,-8.56e-09
953,.0062625,-.000273,.0000235,-6.80e-09
954,.0016397,-.0001705,8.49e-06,-3.72e-09
955,.0157282,-.0005392,.0000171,-6.88e-09
956,.0070403,-.0002492,6.17e-06,-1.48e-09
957,.0131544,-.0004046,.000013,-5.27e-09
958,.0118601,-.0005383,8.95e-06,-3.61e-09
959,.011184,-.0004717,.0000111,-3.76e-09
960,.0139998,-.0005862,-1.86e-07,-1.55e-09
961,.0152671,-.0005862,4.98e-06,-2.51e-09
962,.0135199,-.0004548,.0000137,-2.71e-09
963,.0162519,-.0006139,.0000245,-5.80e-09
964,.0096953,-.0003587,.0000136,-4.46e-09
965,.0123135,-.0003767,.0000157,-4.64e-09
966,.0098643,-.0004136,.0000216,-6.96e-09
967,.0143911,-.0006313,.0000193,-6.27e-09
968,.0137378,-.0005626,7.46e-06,-1.99e-09
969,.0120742,-.0004357,.0000102,-4.96e-09
970,.0113461,-.0004162,3.30e-06,-2.34e-09
971,.0130778,-.0005728,.0000279,-7.89e-09
972,.0097706,-.0003355,.0000223,-6.38e-09
973,.0089642,-.0004214,.0000187,-5.94e-09
974,.0170953,-.0007332,.0000129,-6.54e-09
975,.0100732,-.0004714,7.07e-06,-1.63e-09
976,.0155816,-.0005076,9.15e-06,-3.56e-09
977,.0155045,-.0005673,.0000185,-6.97e-09
978,.0153365,-.0005835,9.79e-06,-3.53e-09
979,.0075553,-.0003011,1.89e-06,-3.24e-09
980,.0111216,-.0004697,.0000304,-8.11e-09
981,.0124377,-.000546,.0000278,-6.76e-09
982,.015355,-.0004491,.0000169,-5.98e-09
983,.0177891,-.0006222,9.06e-06,-4.52e-09
984,.0127215,-.0004271,8.59e-06,-2.75e-09
