estimate,stderr,dof,t,p,min90,max90,x,interact,model
.04091495,.01315162,147,3.1110195,.00224022,.01914526,.06268464,13,0,"NonAgrGDPgrowthCap"
.0369092,.0616213,147,.59896819,.55011603,-.06509164,.13891004,13,1,"NonAgrGDPgrowthCap"
.03866285,.01068315,147,3.6190513,.00040603,.0209792,.05634651,14,0,"NonAgrGDPgrowthCap"
.04401494,.05179223,147,.84983678,.39679783,-.04171598,.12974586,14,1,"NonAgrGDPgrowthCap"
.0358249,.00903551,147,3.9649008,.00011426,.02086855,.05078125,15,0,"NonAgrGDPgrowthCap"
.04958319,.04312469,147,1.1497634,.25210848,-.02180048,.12096686,15,1,"NonAgrGDPgrowthCap"
.03240111,.00878008,147,3.6902973,.00031483,.01786757,.04693465,16,0,"NonAgrGDPgrowthCap"
.05361394,.03563795,147,1.5044061,.13462237,-.00537703,.11260492,16,1,"NonAgrGDPgrowthCap"
.02839147,.0101425,147,2.7992564,.00580996,.01160273,.04518021,17,0,"NonAgrGDPgrowthCap"
.0561072,.02935607,147,1.9112641,.05791689,.00751453,.10469988,17,1,"NonAgrGDPgrowthCap"
.02379598,.01273481,147,1.8685776,.06367166,.00271623,.04487573,18,0,"NonAgrGDPgrowthCap"
.05706297,.02430354,147,2.347928,.02021085,.01683367,.09729227,18,1,"NonAgrGDPgrowthCap"
.01861465,.01609344,147,1.1566608,.2492872,-.00802459,.04525388,19,0,"NonAgrGDPgrowthCap"
.05648124,.02049131,147,2.7563511,.00658577,.02256227,.0904002,19,1,"NonAgrGDPgrowthCap"
.01284747,.01995332,147,.64387635,.52065894,-.02018097,.04587591,20,0,"NonAgrGDPgrowthCap"
.05436201,.01789018,147,3.0386503,.00281331,.02474865,.08397537,20,1,"NonAgrGDPgrowthCap"
.00649444,.02419047,147,.26847117,.78871306,-.03354769,.04653658,21,0,"NonAgrGDPgrowthCap"
.05070529,.0164057,147,3.0907114,.00238904,.02354917,.07786141,21,1,"NonAgrGDPgrowthCap"
-.00044443,.02874937,147,-.0154587,.9876872,-.04803284,.04714399,22,0,"NonAgrGDPgrowthCap"
.04551108,.01589193,147,2.8637855,.00479897,.0192054,.07181675,22,1,"NonAgrGDPgrowthCap"
-.00796915,.03360615,147,-.23713353,.81288335,-.06359692,.04765863,23,0,"NonAgrGDPgrowthCap"
.03877937,.01621965,147,2.3908887,.01807339,.01193122,.06562751,23,1,"NonAgrGDPgrowthCap"
-.01607971,.038752,147,-.41493888,.6787916,-.08022532,.04806591,24,0,"NonAgrGDPgrowthCap"
.03051016,.01734708,147,1.7588064,.08069119,.00179579,.05922454,24,1,"NonAgrGDPgrowthCap"
-.02477612,.04418546,147,-.56073017,.57583517,-.09791567,.04836343,25,0,"NonAgrGDPgrowthCap"
.02070346,.0193312,147,1.0709872,.28593046,-.01129519,.05270211,25,1,"NonAgrGDPgrowthCap"
-.03405838,.04990876,147,-.68241278,.49605191,-.11667162,.04855487,26,0,"NonAgrGDPgrowthCap"
.00935927,.02228029,147,.4200694,.67504811,-.02752098,.04623952,26,1,"NonAgrGDPgrowthCap"
-.04392648,.05592589,147,-.78544092,.43345921,-.13649979,.04864683,27,0,"NonAgrGDPgrowthCap"
-.00352242,.02629616,147,-.13395184,.89362387,-.04705007,.04000523,27,1,"NonAgrGDPgrowthCap"
-.05438043,.06224158,147,-.87369931,.38370709,-.15740802,.04864716,28,0,"NonAgrGDPgrowthCap"
-.0179416,.03144435,147,-.57058273,.56915368,-.06999097,.03410777,28,1,"NonAgrGDPgrowthCap"
-.06542022,.06886083,147,-.95003532,.34365364,-.17940456,.04856411,29,0,"NonAgrGDPgrowthCap"
-.03389828,.03775468,147,-.89785644,.37073029,-.09639305,.02859649,29,1,"NonAgrGDPgrowthCap"
